State, Average,a,b,c,d,e,f,g,h,i,j,k,l
,,,,,,,,,,,,,
Alabama .......................,1165,199,593,100,572,111,15,29,33,20,#,0,5
Alaska ........................,1080,176,547,94,533,94,4,23,41,27,5,#,38
Arizona ......................,1116,179,563,92,553,98,6,27,41,21,4,#,30
Arkansas ......................,1208,198,614,103,594,107,19,36,28,14,#,0,3
California ....................,1055,186,531,95,524,103,4,19,37,32,8,#,53
,,,,,,,,,,,,,
Colorado ......................,1201,194,606,99,595,107,16,39,30,12,#,#,11
Connecticut ...................,1041,210,530,106,512,114,5,20,32,29,14,#,100
Delaware ......................,996,197,503,104,492,103,#,14,31,36,16,#,100
,,,,,,,,,,,,,
Georgia .......................,1050,177,535,92,515,95,3,18,39,34,7,#,61
Hawaii ........................,1085,173,544,88,541,97,5,22,41,29,4,0,55
Idaho ........................,1005,182,513,97,493,96,#,14,35,35,14,#,93
Illinois ......................,1115,241,559,119,556,130,15,24,26,24,10,#,9
Indiana ........................,1074,168,542,88,532,92,3,20,43,29,4,#,63
,,,,,,,,,,,,,
Iowa ..........................,1275,189,641,95,635,106,32,35,24,8,#,0,2
Kansas ........................,1260,188,632,99,628,103,29,35,25,10,#,0,4
Kentucky ......................,1247,188,631,95,616,105,26,36,27,10,#,0,4
Louisiana .....................,1198,204,611,102,586,112,20,33,27,17,#,0,4
Maine .........................,1012,198,513,104,499,106,#,16,34,33,14,#,95
,,,,,,,,,,,,,
Maryland ......................,1060,199,536,102,524,108,5,21,35,30,9,#,69
Massachusetts ................,1107,191,555,98,551,104,7,26,38,23,5,#,76
Michigan .....................,1005,195,509,101,495,105,#,15,32,34,16,#,100
Minnesota .....................,1295,177,644,92,651,99,34,39,21,6,#,0,3
Mississippi ...................,1242,187,634,91,607,107,25,36,28,10,#,0,2
, ,,,,,,,,,,,,
Missouri .......................,1271,189,640,95,631,105,30,38,22,9,#,0,3
Montana .......................,1196,161,605,85,591,89,11,38,39,11,#,0,10
Nebraska ......................,1253,198,629,100,625,109,29,34,26,9,#,0,3
Nevada ........................,1116,170,563,86,553,96,6,26,42,23,#,0,26
New Hampshire .................,1052,198,532,102,520,107,5,20,36,29,10,#,96
, ,,,,,,,,,,,,
New Jersey ....................,1056,187,530,96,526,102,4,20,38,30,8,#,70
New Mexico ....................,1138,186,577,97,561,101,9,29,38,21,#,0,11
New York ......................,1052,188,528,96,523,104,4,20,37,30,9,#,67
North Carolina ................,1081,176,546,92,535,95,4,22,41,28,5,#,49
North Dakota ..................,1256,199,635,100,621,110,31,35,23,9,#,0,2
, ,,,,,,,,,,,,
Ohio ..........................,1149,212,578,108,570,114,13,32,31,18,6,#,12
Oklahoma ......................,1047,257,530,133,517,132,12,20,20,27,21,#,7
Oregon ........................,1108,174,560,93,548,94,6,26,42,24,#,#,43
Pennsylvania ..................,1071,181,540,94,531,98,4,21,41,27,6,#,65
Rhode Island ..................,1062,190,539,99,524,102,4,21,38,28,9,#,71
,,,,,,,,,,,,,
South Carolina ................,1064,174,543,91,521,94,3,20,40,31,5,#,50
South Dakota ..................,1216,197,612,101,603,106,19,38,28,12,#,0,3
Tennessee .....................,1228,190,623,95,604,107,22,36,30,9,#,#,5
Texas .........................,1020,193,513,102,507,101,#,15,34,35,12,#,62
Utah ..........................,1238,185,624,96,614,102,22,40,26,11,#,0,3
, ,,,,,,,,,,,,
Vermont .......................,1114,173,562,92,551,95,5,28,41,22,3,#,60
Virginia ......................,1102,184,561,95,541,100,6,25,40,24,4,#,65
Washington ....................,1075,191,541,101,534,102,5,23,39,26,8,#,64
West Virginia ...........,1086,171,558,88,528,95,5,20,44,28,#,0,14
Wisconsin .....................,1291,178,642,95,649,98,34,38,22,6,#,#,3
Wyoming .................,1230,176,626,90,604,98,17,44,28,9,#,0,3
#Rounds to zero.,,,,,,,,,,,,,
